X,Y,ObjectId,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude
-81.516769,41.424278,2510,Family Dollar Store 11063,23005 Miles Rd,,Warrensville Heights,OH,44128,5442,CUYAHOGA,-81.516769,41.424278
-82.683014,27.839289,2511,7-Eleven 38889H,3660 Gandy Blvd N,,Pinellas Park,FL,33781,2756,PINELLAS,-82.683014,27.839289
-75.678139,41.387535,2512,SOUTHSIDE SEAFOOD,1930 Pittston Ave,,Scranton,PA,18505,4497,LACKAWANNA,-75.678139,41.387535
-84.512497,39.106636,2513,KROGER  513,100 E Court St,,Cincinnati,OH,45202,1204,HAMILTON,-84.512497,39.106636
-82.163589,35.296692,2514,Dollar General 21697,4215 E Hwy 108,,Mill Spring,NC,28756,,POLK,-82.163589,35.296692
-78.377769,33.978523,2515,Big Lots 603,4600 Main St,Ste 1,Shallotte,NC,28470,1899,BRUNSWICK,-78.377769,33.978523
-120.17531,48.467201,2516,"Pardners, The Best Little Mini Market In Wint",900 S Highway  20,,Winthrop,WA,98862,697,OKANOGAN,-120.17531,48.467201
-119.85998,47.08326,2517,Shree's Truck Stop,400 Frontage Rd,,Quincy,WA,98848,9513,GRANT,-119.85998,47.08326
-79.00808,34.672581,2518,SUN-DO KWIK SHOP 301 6,5111 Fayetteville Rd,,Lumberton,NC,28360,2102,ROBESON,-79.00808,34.672581
-78.820122,42.903851,2519,Walden Sycamore Express Llc,441 Walden Ave,,Buffalo,NY,14211,2334,ERIE,-78.820122,42.903851
-97.127251,32.69191,2520,Zamzam Market,3295 S Cooper St,Ste 121,Arlington,TX,76015,2398,TARRANT,-97.127251,32.69191
-96.74353,32.867771,2521,7-Eleven 41155H,6769 Abrams Rd,,Dallas,TX,75231,224,DALLAS,-96.74353,32.867771
-105.01566,40.580421,2522,LOAF N JUG 750824,601 Greenfield Ct,,Fort Collins,CO,80524,8406,LARIMER,-105.01566,40.580421
-73.829056,40.908337,2523,Las Antillas Produce Meat Market Inc.,169 E 3rd St,,Mount Vernon,NY,10550,3608,WESTCHESTER,-73.829056,40.908337
-97.627563,35.479202,2524,City Smoke Stop 1,6537 NW 10th St,,Oklahoma City,OK,73127,4728,OKLAHOMA,-97.627563,35.479202
-85.291847,34.997849,2525,Tienda Y Tortilleria El Manantial,3915 Rossville Blvd,,Chattanooga,TN,37407,2544,HAMILTON,-85.291847,34.997849
-81.01651,29.235056,2526,7-eleven #10117B,623 N Oleander Ave,,Daytona Beach,FL,32118,3824,VOLUSIA,-81.01651,29.235056
-84.676422,44.99873,2527,Dowker's Meat Market,2261 S Otsego Ave,,Gaylord,MI,49735,9419,OTSEGO,-84.676422,44.99873
-82.441452,34.814449,2528,Corner Stop 123 1,3053 White Horse Rd,,Greenville,SC,29611,7701,GREENVILLE,-82.441452,34.814449
-105.07904,40.581959,2529,LOAF N JUG 750827,429 S Mason St,,Fort Collins,CO,80524,2908,LARIMER,-105.07904,40.581959
-78.943077,36.009109,2530,Refuel 122 122,2500 Erwin Rd,,Durham,NC,27705,3842,DURHAM,-78.943077,36.009109
-73.007309,40.770462,2531,Medford Convenience Store Inc,123 Medford Ave,,Patchogue,NY,11772,1203,SUFFOLK,-73.007309,40.770462
-82.859818,37.647415,2532,Billys Variety Sales,6294 KY Route 114,,Prestonsburg,KY,41653,1190,FLOYD,-82.859818,37.647415
-157.73027,21.37668,2533,Keolu Market,1090 Keolu Dr,,Kailua,HI,96734,3871,HONOLULU,-157.73027,21.37668
-84.523193,42.690365,2534,Aurelius Corner,4221 Aurelius Rd,,Lansing,MI,48910,4814,INGHAM,-84.523193,42.690365
-78.123306,35.594589,2535,Eastern Nc Crawfish,100 W 2nd St,,Kenly,NC,27542,5004,JOHNSTON,-78.123306,35.594589
-83.44532,34.190968,2536,Texaco Food Mart,614 S Broad St,,Commerce,GA,30529,3301,JACKSON,-83.44532,34.190968
-97.080109,33.64637,2537,82 Travel Center,5101 E US Highway 82,,Gainesville,TX,76240,1639,COOKE,-97.080109,33.64637
-98.980553,31.706779,2538,Brownwood Hop In,1400 Coggin Ave,,Brownwood,TX,76801,4234,BROWN,-98.980553,31.706779
-85.155594,35.023769,2539,Whole Foods Market 10782,1814 Gunbarrel Rd,,Chattanooga,TN,37421,3898,HAMILTON,-85.155594,35.023769
-118.24693,33.960365,2540,Nabor's 99 Cents And Up,1517 Firestone Blvd,,Los Angeles,CA,90001,3923,LOS ANGELES,-118.24693,33.960365
-89.937866,30.312046,2541,Bayou Advenure,28178 Highway 190,,Lacombe,LA,70445,3280,ST TAMMANY,-89.937866,30.312046
-155.98877,19.645031,2542,Safeway 1117,75-971 Henry St,,Kailua Kona,HI,96740,,HAWAII,-155.98877,19.645031
-83.180229,42.229527,2543,Garden Market No,3807 Fort St,,Lincoln Park,MI,48146,4106,WAYNE,-83.180229,42.229527
-72.410866,41.796093,2544,7-Eleven 32520J,2711 Boston Tpke,,Coventry,CT,6238,1005,TOLLAND,-72.410866,41.796093
-86.196938,41.680531,2545,Rl19 Inc,3627 McKinley Ave,,South Bend,IN,46615,3135,ST JOSEPH,-86.196938,41.680531
-75.086433,40.078323,2546,7-eleven Store #25469c 25469C,8101 Oxford Ave,,Philadelphia,PA,19111,2203,PHILADELPHIA,-75.086433,40.078323
-73.922798,40.817699,2547,Bronx Fish Market Inc,555 Morris Ave,,Bronx,NY,10451,4738,BRONX,-73.922798,40.817699
-105.00717,40.580463,2548,LOAF N JUG 750825,3733 E Mulberry St,,Fort Collins,CO,80524,8538,LARIMER,-105.00717,40.580463
-122.10786,48.00174,2549,7-eleven #18490d,605 91st Ave NE,,Lake Stevens,WA,98258,2533,SNOHOMISH,-122.10786,48.00174
-76.718582,39.967625,2550,American Grocery Mart,451 E Philadelphia St,,York,PA,17403,1621,YORK,-76.718582,39.967625
-73.414185,41.11718,2551,Made In Ussr na,102 Wall St,,Norwalk,CT,6850,3405,FAIRFIELD,-73.414185,41.11718
-96.61367,32.718685,2552,One Stop Food Mart,3708 Shepherd Ln,,Balch Springs,TX,75180,2330,DALLAS,-96.61367,32.718685
-97.040314,37.09959,2553,Casey's General Store 3435,3413 N Summit St,,Arkansas City,KS,67005,8876,COWLEY,-97.040314,37.09959
-93.263031,42.523258,2554,Kwik Star 103,701 S Oak St,,Iowa Falls,IA,50126,9546,HARDIN,-93.263031,42.523258
-73.923958,41.702244,2555,Casa Blanca Deli Grocery Inc,386 Main St,,Poughkeepsie,NY,12601,3317,DUTCHESS,-73.923958,41.702244
-73.979958,40.596279,2556,T- L Food Market Inc /T- L Food Market Inc,119 Avenue U,,Brooklyn,NY,11223,3605,KINGS,-73.979958,40.596279
-122.21042,47.979294,2557,Star Mini Mart,1418 Hewitt Ave,,Everett,WA,98201,3503,SNOHOMISH,-122.21042,47.979294
-124.10412,46.886707,2558,Westport Shop'n Kart,108 S. Montesano,,Westport,WA,98595,,GRAYS HARBOR,-124.10412,46.886707
-124.10096,40.934429,2559,Mckinleyville Shell  H08 H08,1606 Central Ave,,Mckinleyville,CA,95519,4305,HUMBOLDT,-124.10096,40.934429
-82.951294,40.109863,2560,Chuchays Supermarket,6867 Flags Center Dr,,Columbus,OH,43229,1567,FRANKLIN,-82.951294,40.109863
-80.285866,36.222588,2561,Pik & Go,6940 Broad St,,Rural Hall,NC,27045,9260,FORSYTH,-80.285866,36.222588
-75.797714,41.315128,2562,Dollar General 20840,299 S Main St,,Pittston,PA,18640,2314,LUZERNE,-75.797714,41.315128
-122.58164,45.421787,2563,7-Eleven 23071D 23071D,7800 SE Lake Rd,,Portland,OR,97267,2301,CLACKAMAS,-122.58164,45.421787
-73.955299,40.610016,2564,Advanced Domino,1824 Kings Hwy,,Brooklyn,NY,11229,1308,KINGS,-73.955299,40.610016
-97.857971,30.011457,2565,Walmart Supercenter 4130,5754 Kyle Parkway,,Kyle,TX,78640,,HAYS,-97.857971,30.011457
-74.523773,41.46991,2566,Dollar General 21504,1650 Route 211,,Otisville,NY,10963,2709,ORANGE,-74.523773,41.46991
-117.98576,33.832001,2567,Anaheim Liquor,2808 W Lincoln Ave,,Anaheim,CA,92801,6211,ORANGE,-117.98576,33.832001
-79.382423,36.489803,2568,Dollar General 20712,1112 Park Springs Rd,,Providence,NC,27315,9592,CASWELL,-79.382423,36.489803
-122.63629,41.731758,2569,Miner St. Meat Market,200 W Miner St,,Yreka,CA,96097,2920,SISKIYOU,-122.63629,41.731758
-76.320175,40.037727,2570,"The Classy Crab, Llc",3 Ruby St,,Lancaster,PA,17603,3629,LANCASTER,-76.320175,40.037727
-90.499886,41.5495,2571,Qc India Market,2330 Spruce Hills Dr,,Bettendorf,IA,52722,3225,SCOTT,-90.499886,41.5495
-77.280289,39.162457,2572,Naanfe Market,13535 Clopper Rd,,Germantown,MD,20874,2132,MONTGOMERY,-77.280289,39.162457
-95.791946,29.744535,2573,Walmart Neighborhood Market 7310,24919 Westheimer Pkwy,,Katy,TX,77494,7313,FORT BEND,-95.791946,29.744535
-91.304932,40.629864,2574,Dollar General 15777,429 Avenue H,,Fort Madison,IA,52627,,LEE,-91.304932,40.629864
-78.865753,43.059826,2575,"North Tonawanda Foods, Llc 45168",1365 Nash Rd,,North Tonawanda,NY,14120,2366,NIAGARA,-78.865753,43.059826
-97.332352,32.914753,2576,CVS Pharmacy 10879,1933 Heritage Trace Pkwy,,Fort Worth,TX,76177,,TARRANT,-97.332352,32.914753
-96.078133,30.394257,2577,Arlan's Markets 22,1401 E Washington Ave,,Navasota,TX,77868,3240,GRIMES,-96.078133,30.394257
-76.569336,39.291962,2578,Latino & American Mini Market 1,19 S Highland Ave,,Baltimore,MD,21224,2326,BALTIMORE CITY,-76.569336,39.291962
-73.025307,41.562263,2579,Adriel Mini Market,50 N Walnut St,,Waterbury,CT,6704,3719,NEW HAVEN,-73.025307,41.562263
-74.041153,40.877094,2580,Costco 729,80 S River St,,Hackensack,NJ,7601,6929,BERGEN,-74.041153,40.877094
