https://www.sciencebase.gov/catalog/file/get/59f5ec4fe4b063d5d307e5f5,Arizona Cotton Rat,Mammal,Sigmodon arizonae cienegae,ArizonaCottonRa.zip,NULL,wget --server-response -q -O - https://www.sciencebase.gov/catalog/file/get/59f5ec4fe4b063d5d307e5f5 1>val.txt,wget --content-disposition https://www.sciencebase.gov/catalog/file/get/59f5ec4fe4b063d5d307e5f5
https://www.sciencebase.gov/catalog/file/get/59f5e1f2e4b063d5d307dbbd,Arizona Cotton Rat,Mammal,Sigmodon arizonae,ArizonaCottonRa.zip,NULL,wget --server-response -q -O - https://www.sciencebase.gov/catalog/file/get/59f5e1f2e4b063d5d307dbbd 1>val.txt,wget --content-disposition https://www.sciencebase.gov/catalog/file/get/59f5e1f2e4b063d5d307dbbd
https://www.sciencebase.gov/catalog/file/get/59f5ebfae4b063d5d307e311,Baja California Collared Lizard,Reptile,Crotaphytus vestigium,BajaCaliforniaC.zip,NULL,wget --server-response -q -O - https://www.sciencebase.gov/catalog/file/get/59f5ebfae4b063d5d307e311 1>val.txt,wget --content-disposition https://www.sciencebase.gov/catalog/file/get/59f5ebfae4b063d5d307e311
https://www.sciencebase.gov/catalog/file/get/59f5ebfae4b063d5d307e313,Baja California Coachwhip,Reptile,Coluber fuliginosus,BajaCaliforniaC.zip,NULL,wget --server-response -q -O - https://www.sciencebase.gov/catalog/file/get/59f5ebfae4b063d5d307e313 1>val.txt,wget --content-disposition https://www.sciencebase.gov/catalog/file/get/59f5ebfae4b063d5d307e313
https://www.sciencebase.gov/catalog/file/get/59f5e22ae4b063d5d307dcfb,Black-throated Green Warbler,Bird,Dendroica virens,Black_throatedG.zip,NULL,wget --server-response -q -O - https://www.sciencebase.gov/catalog/file/get/59f5e22ae4b063d5d307dcfb 1>val.txt,wget --content-disposition https://www.sciencebase.gov/catalog/file/get/59f5e22ae4b063d5d307dcfb
https://www.sciencebase.gov/catalog/file/get/59f5e266e4b063d5d307de6d,Black-throated Gray Warbler,Bird,Dendroica nigrescens,Black_throatedG.zip,NULL,wget --server-response -q -O - https://www.sciencebase.gov/catalog/file/get/59f5e266e4b063d5d307de6d 1>val.txt,wget --content-disposition https://www.sciencebase.gov/catalog/file/get/59f5e266e4b063d5d307de6d
https://www.sciencebase.gov/catalog/file/get/59f5e1afe4b063d5d307da65,Northern Pygmy-owl (californicum),Bird,Glaucidium gnoma californicum,NorthernPygmy_o.zip,NULL,wget --server-response -q -O - https://www.sciencebase.gov/catalog/file/get/59f5e1afe4b063d5d307da65 1>val.txt,wget --content-disposition https://www.sciencebase.gov/catalog/file/get/59f5e1afe4b063d5d307da65
https://www.sciencebase.gov/catalog/file/get/59f5ec3be4b063d5d307e535,Northern Pygmy-owl (gnoma),Bird,Glaucidium gnoma gnoma,NorthernPygmy_o.zip,NULL,wget --server-response -q -O - https://www.sciencebase.gov/catalog/file/get/59f5ec3be4b063d5d307e535 1>val.txt,wget --content-disposition https://www.sciencebase.gov/catalog/file/get/59f5ec3be4b063d5d307e535
https://www.sciencebase.gov/catalog/file/get/59f5ec3be4b063d5d307e537,Northern Pygmy-owl,Bird,Glaucidium gnoma,NorthernPygmy_o.zip,NULL,wget --server-response -q -O - https://www.sciencebase.gov/catalog/file/get/59f5ec3be4b063d5d307e537 1>val.txt,wget --content-disposition https://www.sciencebase.gov/catalog/file/get/59f5ec3be4b063d5d307e537
https://www.sciencebase.gov/catalog/file/get/59f5ec1de4b063d5d307e44d,Prairie Vole,Mammal,Microtus ochrogaster taylori,PrairieVole_Mic.zip,NULL,wget --server-response -q -O - https://www.sciencebase.gov/catalog/file/get/59f5ec1de4b063d5d307e44d 1>val.txt,wget --content-disposition https://www.sciencebase.gov/catalog/file/get/59f5ec1de4b063d5d307e44d
https://www.sciencebase.gov/catalog/file/get/59f5e27ee4b063d5d307def1,Prairie Vole,Mammal,Microtus ochrogaster,PrairieVole_Mic.zip,NULL,wget --server-response -q -O - https://www.sciencebase.gov/catalog/file/get/59f5e27ee4b063d5d307def1 1>val.txt,wget --content-disposition https://www.sciencebase.gov/catalog/file/get/59f5e27ee4b063d5d307def1
https://www.sciencebase.gov/catalog/file/get/59f5e1c5e4b063d5d307dad3,Southern Pocket Gopher (intermedius),Mammal,Thomomys umbrinus intermedius,SouthernPocketG.zip,NULL,wget --server-response -q -O - https://www.sciencebase.gov/catalog/file/get/59f5e1c5e4b063d5d307dad3 1>val.txt,wget --content-disposition https://www.sciencebase.gov/catalog/file/get/59f5e1c5e4b063d5d307dad3
https://www.sciencebase.gov/catalog/file/get/59f5ebb3e4b063d5d307e0cb,Southern Pocket Gopher,Mammal,Thomomys umbrinus,SouthernPocketG.zip,NULL,wget --server-response -q -O - https://www.sciencebase.gov/catalog/file/get/59f5ebb3e4b063d5d307e0cb 1>val.txt,wget --content-disposition https://www.sciencebase.gov/catalog/file/get/59f5ebb3e4b063d5d307e0cb
https://www.sciencebase.gov/catalog/file/get/59f5e1a3e4b063d5d307da39,Southern Red-backed Vole,Mammal,Myodes gapperi,SouthernRed_bac.zip,NULL,wget --server-response -q -O - https://www.sciencebase.gov/catalog/file/get/59f5e1a3e4b063d5d307da39 1>val.txt,wget --content-disposition https://www.sciencebase.gov/catalog/file/get/59f5e1a3e4b063d5d307da39
